peopleCd,peopleNm,repRoleNm,filmoNames
10038689,존 왓츠,감독,스파이더맨: 파 프롬 홈|스파이더맨: 홈 커밍|캅카
10000296,가이 리치,감독,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
10023314,조시 쿨리,감독,토이 스토리 4
20209287,남대중,감독,기방도령|위대한 소원
10031641,봉준호,감독,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
20148215,고정욱,조감독,진범|몽타주|흉터|채식주의자|사랑 따윈 필요 없어|독개구리
10090941,히라야마 미호,감독,극장판 엉덩이 탐정: 화려한 사건 수첩
10018162,게리 도버먼,감독,애나벨 집으로
10071639,채드 스타헬스키,배우,존 윅 3: 파라벨룸|존 윅 - 리로드|존 윅: 특별판|존 윅|네미시스 2 
10021926,아리 애스터,감독,미드소마|유전
20135271,강윤성,감독,롱 리브 더 킹: 목포 영웅|범죄도시|영어완전정복
10066410,로버트 페르난데스,감독,천로역정: 천국을 찾아서
10057331,이정호,감독,비스트|방황하는 칼날|베스트셀러|용서는 없다|슈퍼맨이었던 사나이|좋지 아니한가|흡혈형사 나도열|령|청풍명월(淸風明月)|마고|물위의 하룻밤
